,0,1,2,3
0,Model:,OLS,Adj. R-squared:,-0.002
1,Dependent Variable:,Rp-Rf,AIC:,-3563.9228
2,Date:,2024-04-25 10:08,BIC:,-3555.5380
3,No. Observations:,489,Log-Likelihood:,1784.0
4,Df Model:,1,F-statistic:,0.03986
5,Df Residuals:,487,Prob (F-statistic):,0.842
6,R-squared:,0.000,Scale:,3.9860e-05
,Coef.,Std.Err.,t,P>|t|,[0.1,0.9]
const,0.0003007563590417934,0.000287152656155305,1.0473744630073383,0.29544643597956893,-6.774444557774387e-05,0.0006692571636613307
Rm-Rf,-0.005084178025373122,0.025466355404981954,-0.19964293847789896,0.8418431751291349,-0.03776495689439206,0.02759660084364582
,0,1,2,3
0,Omnibus:,96.583,Durbin-Watson:,2.000
1,Prob(Omnibus):,0.000,Jarque-Bera (JB):,512.898
2,Skew:,0.737,Prob(JB):,0.000
3,Kurtosis:,7.796,Condition No.:,89
